"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Kenneth Gainwell (PIT)","84","364","4.3","32","3","2","30","37","183","6.1","0","1","16","67.4","4.2","21.0%"
"53","Latavius Murray (FA)","79","300","3.8","29","2","4","17","22","119","7.0","0","0","16","65.9","4.1","0.0%"
"54","Keaton Mitchell (BAL)","47","396","8.4","60","7","2","9","11","93","10.3","0","0","7","60.9","8.7","18.8%"
"55","Miles Sanders (DAL)","129","432","3.3","48","1","1","27","41","154","5.7","0","2","16","60.6","3.8","10.2%"
"56","Jerick McKinnon (FA)","21","60","2.9","10","0","1","25","32","192","7.7","4","0","12","59.4","5.0","0.0%"
"57","Zamir White (LV)","104","451","4.3","43","2","1","15","19","98","6.5","0","1","15","58.9","3.9","30.7%"
"58","Joshua Kelley (FA)","107","405","3.8","49","2","2","8","12","32","4.0","0","1","17","53.7","3.2","0.0%"
"59","Clyde Edwards-Helaire (NO)","70","223","3.2","20","1","1","17","22","188","11.1","1","0","15","53.1","3.5","8.3%"
"60","Emari Demercado (ARI)","58","284","4.9","49","1","2","21","30","119","5.7","0","0","14","52.3","3.7","2.9%"
"61","Royce Freeman (FA)","77","319","4.1","23","1","2","1","2","13","13.0","0","0","11","45.2","4.1","0.1%"
"62","Jamaal Williams (FA)","106","306","2.9","17","0","1","18","20","62","3.4","0","0","13","42.8","3.3","1.5%"
"63","Jordan Mason (MIN)","40","206","5.2","26","1","3","3","4","31","10.3","0","0","16","41.7","2.6","74.1%"
"64","Elijah Mitchell (KC)","75","281","3.7","18","0","2","6","8","14","2.3","0","0","11","41.5","3.8","20.0%"
"65","Chase Brown (CIN)","44","179","4.1","31","2","0","14","15","156","11.1","1","0","12","39.5","3.3","86.1%"
"66","Pierre Strong Jr. (CLE)","63","291","4.6","40","2","1","5","8","47","9.4","0","1","17","37.8","2.2","0.9%"
"67","Chris Rodriguez Jr. (WAS)","51","247","4.8","16","0","2","2","2","12","6.0","0","1","11","35.9","3.3","4.1%"
"68","Cam Akers (FA)","60","167","2.8","19","0","2","11","12","70","6.4","0","0","7","35.7","5.1","7.2%"
"69","Michael Carter (ARI)","30","187","6.2","21","1","0","24","31","101","4.2","1","0","15","34.8","2.3","1.8%"
"70","Darrell Henderson Jr. (FA)","46","112","2.4","16","0","2","10","14","103","10.3","0","0","4","33.5","8.4","0.0%"
"71","Kendre Miller (NO)","41","156","3.8","18","0","1","10","11","117","11.7","0","0","8","33.3","4.2","24.9%"
"72","Matt Breida (FA)","55","151","2.7","9","0","1","17","21","88","5.2","0","0","17","29.9","1.8","0.0%"
"73","Cordarrelle Patterson (PIT)","50","181","3.6","18","0","0","9","12","38","4.2","1","0","14","27.9","2.0","2.0%"
"74","Jeff Wilson Jr. (FA)","41","188","4.6","15","0","0","14","17","85","6.1","0","0","10","27.3","2.7","0.6%"
"75","Salvon Ahmed (IND)","22","61","2.8","10","0","1","16","23","88","5.5","1","0","9","26.9","3.0","0.1%"
"76","Chase Edmonds (FA)","49","176","3.6","21","1","0","14","17","81","5.8","0","0","13","25.7","2.0","0.0%"
"77","Ty Johnson (BUF)","30","132","4.4","13","0","0","7","7","62","8.9","1","0","9","25.4","2.8","7.7%"
"78","Dalvin Cook (FA)","67","214","3.2","14","0","0","15","20","78","5.2","0","2","15","25.2","1.7","2.4%"
"79","Tony Jones Jr. (FA)","26","95","3.7","19","0","2","7","10","37","5.3","0","0","7","25.2","3.6","0.0%"
"80","D'Ernest Johnson (FA)","41","108","2.6","19","0","0","10","12","140","14.0","0","0","17","24.8","1.5","0.6%"
"81","Craig Reynolds (DET)","41","179","4.4","19","0","1","5","5","47","9.4","0","2","15","24.6","1.6","1.4%"
"82","Kyle Juszczyk (SF)","5","6","1.2","3","0","0","14","17","119","8.5","2","0","17","24.5","1.4","2.2%"
"83","Darrynton Evans (BUF)","32","121","3.8","13","0","1","7","12","49","7.0","0","0","6","23.0","3.8","0.0%"
"84","Ameer Abdullah (FA)","15","89","5.9","12","0","0","19","24","131","6.9","0","0","17","22.0","1.3","4.3%"
"85","Tank Bigsby (JAC)","50","132","2.6","12","0","2","1","4","6","6.0","0","2","16","21.8","1.4","55.6%"
"86","Nick Chubb (FA)","28","170","6.1","20","1","0","4","4","21","5.3","0","0","2","19.1","9.6","37.7%"
"87","Patrick Taylor Jr. (SF)","32","141","4.4","24","1","0","11","17","49","4.5","0","0","11","19.0","1.7","1.9%"
"88","Kevin Harris (FA)","16","65","4.1","18","0","1","3","3","58","19.3","0","0","4","18.3","4.6","0.0%"
"89","Trey Sermon (FA)","35","160","4.6","27","1","0","3","6","13","4.3","0","0","12","17.3","1.4","2.0%"
"90","Damien Harris (FA)","23","94","4.1","11","0","1","2","2","16","8.0","0","0","7","17.0","2.4","9.0%"
"91","Melvin Gordon III (FA)","26","81","3.1","22","1","1","3","3","46","15.3","0","1","4","16.7","4.2","0.0%"
"92","Ronnie Rivers (LAR)","32","129","4.0","10","0","0","5","5","22","4.4","0","0","9","15.1","1.7","0.7%"
"93","Isaiah Spiller (LV)","37","96","2.6","8","0","0","6","6","34","5.7","0","0","9","13.0","1.4","0.1%"
"94","Tyler Goodson (IND)","13","87","6.7","31","1","0","6","9","34","5.7","0","0","6","12.1","2.0","1.3%"
"95","Alec Ingold (MIA)","2","0","0.0","0","0","0","13","16","119","9.2","0","0","17","11.9","0.7","2.4%"
"96","Boston Scott (FA)","20","86","4.3","18","0","0","4","6","52","13.0","0","1","12","11.8","1.0","0.1%"
"97","Patrick Ricard (BAL)","0","0","0","0","0","0","5","7","52","10.4","1","0","17","11.2","0.7","2.5%"
"98","Raheem Blackshear (CAR)","14","46","3.3","9","0","0","6","7","45","7.5","0","0","11","11.1","1.0","0.8%"
"99","Brandon Bolden (FA)","4","31","7.8","26","1","1","0","0","0","0","0","0","5","11.1","2.2","0.0%"
"100","La'Mical Perine (FA)","22","77","3.5","10","0","0","3","5","33","11.0","0","0","5","11.0","2.2","0.0%"
"101","Emanuel Wilson (GB)","14","85","6.1","31","1","0","4","5","23","5.8","0","0","7","10.8","1.5","6.1%"
"102","Chris Brooks (GB)","19","106","5.6","52","2","0","0","0","0","0","0","0","4","10.6","2.7","2.4%"
"103","Keaontay Ingram (KC)","35","74","2.1","14","0","0","4","4","26","6.5","0","0","7","10.0","1.4","0.1%"
"104","Hunter Luepke (DAL)","6","19","3.2","9","0","1","3","4","18","6.0","0","0","17","9.7","0.6","0.1%"
"105","J.K. Dobbins (FA)","8","22","2.8","4","0","1","2","3","15","7.5","0","0","1","9.7","9.7","81.0%"
"106","Israel Abanikanda (SF)","22","70","3.2","12","0","0","7","11","43","6.1","0","1","7","9.3","1.3","1.0%"
"107","Nick Bawden (FA)","2","4","2.0","3","0","1","3","3","21","7.0","0","0","16","8.5","0.5","0.0%"
"108","Dare Ogunbowale (HOU)","8","35","4.4","17","0","0","2","7","18","9.0","0","0","10","8.3","0.8","1.8%"
